Fecha,ralenti_total_h,ralenti_h_sim,reduccion,viajes_dia,dist_total_dia,unidades_activas,weekday,month,pred
2025-04-16,1044.6021851851851,1073.2200812425328,-28.617896057347707,333,333,125,2,4,1068.5179698536865
2025-04-17,1270.1610833333334,1308.1566069188427,-37.99552358550932,431,431,144,3,4,1287.1646220100913
2025-04-18,751.8477592592593,773.9366096176822,-22.08885035842286,292,292,105,4,4,835.3810007411547
2025-04-19,1059.0296944444444,1087.3728261542071,-28.3431317097627,350,350,119,5,4,1073.1337287233266
2025-04-20,623.6783148148148,644.7024341077829,-21.024119292968063,261,261,116,6,4,664.2705373449043
2025-04-21,1088.4080185185185,1108.0910147636116,-19.682996245093136,358,358,128,0,4,1075.6977314374226
2025-04-22,1129.9495833333333,1138.916049432497,-8.966466099163654,373,373,139,1,4,1141.2870297980776
2025-04-23,1265.8246111111112,1273.8379035244925,-8.013292413381123,415,415,140,2,4,1266.14510023556
2025-04-24,1207.743787037037,1222.1739335424134,-14.430146505376342,347,347,139,3,4,1167.9360599299769
2025-04-25,1267.1157962962964,1289.925211618877,-22.809415322580666,371,371,132,4,4,1224.385436972804
2025-04-26,1009.5260277777778,1025.901509707288,-16.3754819295101,301,301,117,5,4,987.2967256372308
2025-04-27,653.7043333333334,660.1616523617512,-6.457319028417828,195,195,101,6,4,632.2074766106992
2025-04-28,1206.417611111111,1218.3408962066906,-11.923285095579558,402,402,156,0,4,1197.1688741468806
2025-04-29,1318.524175925926,1349.4979642643796,-30.973788338453687,398,398,142,1,4,1286.370494324948
2025-04-30,1121.4060648148147,1143.8553827444955,-22.449317929681,388,388,149,2,4,1141.430808379626
2025-05-01,1052.24832437276,1057.600240655402,-5.351916282641923,271,271,119,3,5,1001.3533333837944
2025-05-02,1025.0151254480286,1035.7203425925925,-10.705217144563903,289,289,123,4,5,1039.90231292922
2025-05-03,1234.6752508960574,1246.8577435462537,-12.18249265019631,320,320,133,5,5,1193.692321476702
2025-05-04,539.9267921146953,545.0776284348865,-5.150836320191161,164,164,93,6,5,531.9220856560408
2025-05-05,1224.1149551971323,1234.7278475635774,-10.61289236644484,392,392,136,0,5,1193.3630905484915
2025-05-06,1249.7911738351254,1265.5253960573475,-15.734222222222344,364,364,144,1,5,1237.4803691286872
2025-05-07,1244.1914426523297,1251.1321106630824,-6.940668010752688,320,320,135,2,5,1215.624311202361
2025-05-08,1251.620582437276,1258.2695498805256,-6.648967443249603,350,350,129,3,5,1229.6055970784384
2025-05-09,1167.347688172043,1184.219306600956,-16.871618428912825,306,306,130,4,5,1138.5423765108055
2025-05-10,1157.33458781362,1176.944792264038,-19.610204450418,318,318,126,5,5,1140.982921536582
2025-05-11,679.0562007168459,688.3708484809695,-9.314647764123606,202,202,94,6,5,665.6185487196549
2025-05-12,1117.8075985663083,1131.094787762417,-13.287189196108557,350,350,136,0,5,1109.4651677606148
2025-05-13,1183.2249103942652,1191.216398446834,-7.991488052568684,351,351,147,1,5,1212.788738315243
2025-05-14,1165.6033781362007,1173.5172138590203,-7.913835722819613,314,314,128,2,5,1180.7507684493903
2025-05-15,1032.2276075268817,1045.6292619474314,-13.401654420549676,276,276,123,3,5,1030.445868927787
2025-05-16,1168.5243369175628,1192.21038739546,-23.6860504778972,359,359,133,4,5,1187.800177452996
2025-05-17,1176.9654480286738,1197.7768814217443,-20.8114333930705,327,327,129,5,5,1171.5852684503916
2025-05-18,539.3199372759857,552.603055171531,-13.283117895545274,159,159,80,6,5,492.4944414843496
2025-05-19,875.8353225806452,892.9348222819594,-17.099499701314244,241,241,110,0,5,800.64729281796
2025-05-20,1115.5386559139786,1136.5523896356033,-21.013733721624703,351,351,118,1,5,1092.8218935999412
2025-05-21,1227.6739695340502,1238.4094771505377,-10.73550761648744,313,313,140,2,5,1200.6052802325146
