Ruta,n_obs,var_time,std_time,median_time,mean_time,q25,q75,tiempo_ideal,buffer_recomendado,mean_time_safe,CV,Es_Critica
WM CEDIS CHALCO/BODEGA TULYEHUALCO,90,2808.0011235955044,52.9905757998109,1.0,22.23333333333333,0.0,1.0,1.0,68.82793702375795,22.23333333333333,2.3833842188820498,False
WM CEDIS CHALCO/BODEGA VALLE DE CHALCO,25,884.4899999999999,29.74037659479113,1.0,12.64,0.0,1.0,1.0,39.067682041332645,12.64,2.3528778951575258,False
WM CEDIS CHALCO/BODEGA YAUTEPEC,98,2265.791394908478,47.60032977730804,0.0,16.887755102040817,0.0,1.0,0.0,60.92842211495429,16.887755102040817,2.8186297995022285,False
WM CEDIS CHALCO/BODEGA ZARAGOZA,68,1264.772607550483,35.56364165198051,0.0,13.058823529411764,0.0,1.0,0.0,45.52146131453505,13.058823529411764,2.723341928304814,False
WM CEDIS CHALCO/CHIMALHUACAN PEÑON,73,3043.326484018264,55.16635282505328,1.0,26.91780821917808,0.0,1.0,1.0,71.6129316160682,26.91780821917808,2.049437026070682,False
WM CEDIS CHALCO/COMERCIALIZADORA EL ORO,43,1700.264673311185,41.23426576660709,1.0,15.209302325581396,0.0,1.0,1.0,53.77986018125707,15.209302325581396,2.7111214494863987,False
WM CEDIS CHALCO/FABRICA DE JABON LA CORONA,853,2189151.983945094,1479.5783128800902,1.0,65.17350527549824,0.0,1.0,1.0,1894.8602404865155,65.17350527549824,22.70214417078979,True
WM CEDIS CHALCO/FRABEL SMO,86,23445631.36538988,4842.068913738204,1.0,595.8953488372093,0.0,5.25,1.0,6198.848209584901,595.8953488372093,8.125703486672109,True
WM CEDIS CHALCO/KIMBERLY CLARK ECATEPEC,70,1234.583850931677,35.13664541375111,1.0,13.714285714285714,0.0,1.75,1.0,45.97490612960142,13.714285714285714,2.562047061419352,False
WM CEDIS CHALCO/KIMBERLY TEPOTZOTLAN,22,3642.123376623377,60.35000726282787,1.0,25.13636363636364,0.0,1.0,1.0,78.24800929641968,25.13636363636364,2.400904448069101,False
